GroupID,TaskID,JobID,MatchID,Level,BestLevel,NumSources
1058478,33032,33032,6000160767687,0,0,20
1058478,33032,33032,6000160767697,0,2,20
1058478,33032,33032,6000160767724,0,0,20
1058478,33032,33032,6000160767727,0,0,20
538712,33580,33580,4189975608,0,0,20
538712,33580,33580,4189975620,0,0,20
538712,33580,33580,4189975776,0,0,20
538712,33580,33580,4189975861,0,0,20
538712,33580,33580,4189975881,0,0,20
538712,33580,33580,4189976149,0,0,20
538712,33580,33580,4189976151,0,0,20
538712,33580,33580,4189976818,0,0,20
538712,33580,33580,4189976843,0,1,20
538712,33580,33580,4189977086,0,1,20
538712,33580,33580,4189977158,0,1,20
538712,33580,33580,4189977485,0,0,20
538712,33580,33580,4189977562,0,0,20
538712,33580,33580,4189977683,0,0,20
538712,33580,33580,4189977924,0,0,20
538712,33580,33580,4189978121,0,0,20
538712,33580,33580,4189978276,0,0,20
538712,33580,33580,4189978391,0,0,20
538712,33580,33580,4189978582,0,0,20
538712,33580,33580,4189978610,0,0,20
419231,33751,33751,4255306729,0,0,20
1007182,33818,33818,6000165411230,0,0,30
1007182,33818,33818,6000165411233,0,0,30
1007182,33818,33818,6000165411236,0,0,29
1007182,33818,33818,6000165411237,0,0,24
1007182,33818,33818,6000165411241,0,0,30
1007182,33818,33818,6000165411243,0,0,28
1007182,33818,33818,6000165411245,0,0,29
1007182,33818,33818,6000165411246,0,0,30
1007182,33818,33818,6000165411247,0,0,26
1007182,33818,33818,6000165411249,0,0,30
1007182,33818,33818,6000165411250,0,1,20
1007182,33818,33818,6000165411252,0,0,27
1007182,33818,33818,6000165411253,0,2,24
1007182,33818,33818,6000165411254,0,0,29
1007182,33818,33818,6000165411256,0,0,30
1007182,33818,33818,6000165411257,0,0,30
1007182,33818,33818,6000165411258,0,0,30
1007182,33818,33818,6000165411259,0,0,30
1007182,33818,33818,6000165411260,0,0,30
1007182,33818,33818,6000165411261,0,0,27
1007182,33818,33818,6000165411263,0,0,26
1007182,33818,33818,6000165411267,0,0,30
1007182,33818,33818,6000165411268,0,0,27
1007182,33818,33818,6000165411269,0,0,30
1007182,33818,33818,6000165411271,0,0,29
1007182,33818,33818,6000165411272,0,0,30
1007182,33818,33818,6000165411273,0,0,28
1007182,33818,33818,6000165411276,0,0,26
1007182,33818,33818,6000165411280,0,0,30
1007182,33818,33818,6000165411281,0,0,30
1007182,33818,33818,6000165411282,0,0,29
1007182,33818,33818,6000165411283,0,0,30
1007182,33818,33818,6000165411284,0,0,30
1007182,33818,33818,6000165411285,0,0,30
1007182,33818,33818,6000165411286,0,0,28
1007182,33818,33818,6000165411287,0,0,30
1007182,33818,33818,6000165411290,0,0,29
1007182,33818,33818,6000165411291,0,0,30
1007182,33818,33818,6000165411292,0,0,28
1007182,33818,33818,6000165411293,0,0,29
1007182,33818,33818,6000165411295,0,0,29
1007182,33818,33818,6000165411298,0,0,29
1007182,33818,33818,6000165411299,0,0,30
1007182,33818,33818,6000165411300,0,0,30
1007182,33818,33818,6000165411303,0,0,30
1007182,33818,33818,6000165411304,0,0,29
