,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,chainbreaker runtime,copkmeans runtime,kmeans runtime
0,0.13,5,0.04,0.04,1000000000,0.04503546700289007,0.00959681801032275,0.11686530600127298
0,0.13,5,0.04,0.04,1000000000,0.057358439997187816,0.01223985200340394,0.1011112980049802
0,0.13,5,0.04,0.04,1000000000,0.055177086003823206,0.011585247004404664,0.0989957220008364
0,0.13,5,0.04,0.04,1000000000,0.06853020000562537,0.012706362002063543,0.10200434499711264
0,0.13,5,0.04,0.04,1000000000,0.05590106500312686,0.011777092004194856,0.13180495100095868
0,0.13,5,0.04,0.04,1000000000,0.05519152799388394,0.011948020008276217,0.10003140100161545
0,0.13,5,0.04,0.04,1000000000,0.05509183199319523,0.011898764001671225,0.10061494800902437
0,0.13,5,0.04,0.04,1000000000,0.055268041003728285,0.011869779002154246,0.10186988199711777
0,0.13,5,0.04,0.04,1000000000,0.05487209900456946,0.011513170000398532,0.10430535300110932
0,0.13,5,0.04,0.04,1000000000,0.054292929999064654,0.011533922006492503,0.09856492599647027
0,0.13,5,0.04,0.04,1000000000,0.055193581007188186,0.011915207011043094,0.09974470299493987
0,0.13,5,0.04,0.04,1000000000,0.0669149000023026,0.01201664398831781,0.2422480119857937
0,0.13,5,0.04,0.04,1000000000,0.054157013000804,0.01163155899848789,0.0986460489948513
0,0.13,5,0.04,0.04,1000000000,0.055205639990163036,0.011620756005868316,0.10093184400466271
0,0.13,5,0.04,0.04,1000000000,0.05485039499762934,0.011783317997469567,0.10118233099638019
0,0.13,5,0.04,0.04,1000000000,0.060898566007381305,0.02472687700355891,0.22626104699156713
0,0.13,5,0.04,0.04,1000000000,0.05497169299633242,0.011589472007472068,0.10107015700486954
0,0.13,5,0.04,0.04,1000000000,0.05528897799376864,0.011989831007667817,0.10226026001328137
0,0.13,5,0.04,0.04,1000000000,0.05532521300483495,0.01206086200545542,0.09935343600227498
0,0.13,5,0.04,0.04,1000000000,0.05390684700978454,0.01158093599951826,0.09957381599815562
0,0.13,10,0.04,0.04,1000000000,0.211740868006018,0.011868143992614932,0.10561056599544827
0,0.13,10,0.04,0.04,1000000000,0.21295367600396276,0.012581754999700934,0.11143341100250836
0,0.13,10,0.04,0.04,1000000000,0.21493918698979542,0.011568728004931472,0.10484765900764614
0,0.13,10,0.04,0.04,1000000000,0.2143846340040909,0.012122661006287672,0.1038125869963551
0,0.13,10,0.04,0.04,1000000000,0.2135718000063207,0.012324008988798596,0.10716420398966875
0,0.13,10,0.04,0.04,1000000000,0.2154559420014266,0.01220985798863694,0.11971959799120668
0,0.13,10,0.04,0.04,1000000000,0.21458414400694892,0.011787665003794245,0.10356540000066161
0,0.13,10,0.04,0.04,1000000000,0.21408953100035433,0.012073003992554732,0.10731466300785542
0,0.13,10,0.04,0.04,1000000000,0.21673869799997192,0.0122400190011831,0.10369378598988988
0,0.13,10,0.04,0.04,1000000000,0.21573214398813434,0.012324882991379127,0.10295093098829966
0,0.13,10,0.04,0.04,1000000000,0.21789664500101935,0.011488911986816674,0.1023946429922944
0,0.13,10,0.04,0.04,1000000000,0.21553988399682567,0.08751317599671893,0.10322014600387774
0,0.13,10,0.04,0.04,1000000000,0.21546180899895262,0.013299554004333913,0.10279668499424588
0,0.13,10,0.04,0.04,1000000000,0.21635308799159247,0.012025064002955332,0.1087700789939845
0,0.13,10,0.04,0.04,1000000000,0.2138846960006049,0.012087832001270726,0.11233673300012015
0,0.13,10,0.04,0.04,1000000000,0.21695656298834365,0.011776767001720145,0.1011969489918556
0,0.13,10,0.04,0.04,1000000000,0.2127245640003821,0.011350350003340282,0.11000650399364531
0,0.13,10,0.04,0.04,1000000000,0.2145410550001543,0.011985947989160195,0.10342620700248517
0,0.13,10,0.04,0.04,1000000000,0.21502762899035588,0.011920071003260091,0.11477863699838053
0,0.13,10,0.04,0.04,1000000000,0.21943164800177328,0.012246393001987599,0.10396378699806519
0,0.13,15,0.04,0.04,1000000000,0.44193191100202966,0.01500812299491372,0.11352760800218675
0,0.13,15,0.04,0.04,1000000000,0.4359063919982873,0.013992844003951177,0.12091271400277037
0,0.13,15,0.04,0.04,1000000000,0.44497723900713027,0.014723776999744587,0.11686036999162752
0,0.13,15,0.04,0.04,1000000000,0.4371681729971897,0.013966223996249028,0.11733313200238626
0,0.13,15,0.04,0.04,1000000000,0.43195793699123897,0.01386120899405796,0.11000114999478683
0,0.13,15,0.04,0.04,1000000000,0.4398689499939792,0.014382110006408766,0.10415865700633731
0,0.13,15,0.04,0.04,1000000000,0.4298758469958557,0.015970308988471515,0.10995653200370725
0,0.13,15,0.04,0.04,1000000000,0.43464440800016746,0.015666763007175177,0.11215987899049651
0,0.13,15,0.04,0.04,1000000000,0.4290046359965345,0.014923916998668574,0.10423982799693476
0,0.13,15,0.04,0.04,1000000000,0.4336760770092951,0.015850972005864605,0.10955670199473388
0,0.13,15,0.04,0.04,1000000000,0.4275310100056231,0.014366246992722154,0.10329852400172967
0,0.13,15,0.04,0.04,1000000000,0.4351821599993855,0.014344216004246846,0.10502328300208319
0,0.13,15,0.04,0.04,1000000000,0.44260534198838286,0.014773722999962047,0.10840437099977862
0,0.13,15,0.04,0.04,1000000000,0.450045196004794,0.015100609001819976,0.1112517139990814
0,0.13,15,0.04,0.04,1000000000,0.44977810500131454,0.014290920997154899,0.11087296999176033
0,0.13,15,0.04,0.04,1000000000,0.44365170899254736,0.014117063998128287,0.1100875999982236
0,0.13,15,0.04,0.04,1000000000,0.4387835639936384,0.014103486988460645,0.10856290800438728
0,0.13,15,0.04,0.04,1000000000,0.44300796299648937,0.013786737006739713,0.11032381201221142
0,0.13,15,0.04,0.04,1000000000,0.44251733599230647,0.015253801000653766,0.11307456500071567
0,0.13,15,0.04,0.04,1000000000,0.4385526019905228,0.014762777005671524,0.10678704699967057
0,0.13,20,0.04,0.04,1000000000,0.7502981339930557,0.01803886200650595,0.11298133700620383
0,0.13,20,0.04,0.04,1000000000,0.7376754400029313,0.01709593199484516,0.11218724900390953
0,0.13,20,0.04,0.04,1000000000,0.7377032710064668,0.016049049008870497,0.10707268500118516
0,0.13,20,0.04,0.04,1000000000,0.7427904750074958,0.019928412002627738,0.11033459499594755
0,0.13,20,0.04,0.04,1000000000,0.7333437110064551,0.019348304005688988,0.11012368299998343
0,0.13,20,0.04,0.04,1000000000,0.757440277011483,0.01683614999637939,0.1073188040027162
0,0.13,20,0.04,0.04,1000000000,0.7511178319982719,0.016924386989558116,0.11108995298855007
0,0.13,20,0.04,0.04,1000000000,0.7668200799962506,0.017678600997896865,0.11070435900182929
0,0.13,20,0.04,0.04,1000000000,0.738589532993501,0.01638036700023804,0.10898200699011795
0,0.13,20,0.04,0.04,1000000000,0.7325076849956531,0.017065211999579333,0.11431881500175223
0,0.13,20,0.04,0.04,1000000000,0.7478197809978155,0.016518182994332165,0.11214318699785508
0,0.13,20,0.04,0.04,1000000000,0.7381076590099838,0.01726412700372748,0.11023733799811453
0,0.13,20,0.04,0.04,1000000000,0.7382401479990222,0.016904513002373278,0.11135749399545603
0,0.13,20,0.04,0.04,1000000000,0.7398307080002269,0.017537046995130368,0.12271371298993472
0,0.13,20,0.04,0.04,1000000000,0.7641811590001453,0.01699032999749761,0.11358278199622873
0,0.13,20,0.04,0.04,1000000000,0.7351508540014038,0.019210234997444786,0.10397191300580744
0,0.13,20,0.04,0.04,1000000000,0.7277912129939068,0.017062507002265193,0.11119694099761546
0,0.13,20,0.04,0.04,1000000000,0.7591504199954215,0.01669142401078716,0.11354868700436782
0,0.13,20,0.04,0.04,1000000000,0.7703196280053817,0.018357515000388958,0.11313981001148932
0,0.13,20,0.04,0.04,1000000000,0.7533205969957635,0.018184728993219323,0.10904350499913562
0,0.13,25,0.04,0.04,1000000000,1.1437132340070093,0.024481445987476036,0.11967777500103693
0,0.13,25,0.04,0.04,1000000000,1.1315312610095134,0.019615026001702063,0.12518361599359196
0,0.13,25,0.04,0.04,1000000000,1.1658630360034294,0.02042687000357546,0.11188438300450798
0,0.13,25,0.04,0.04,1000000000,1.135275148000801,0.02017833800346125,0.1145091560028959
0,0.13,25,0.04,0.04,1000000000,1.1634542240062729,0.01969333599845413,0.11415750600281172
0,0.13,25,0.04,0.04,1000000000,1.1578179720090702,0.01970419399731327,0.11558431999583263
0,0.13,25,0.04,0.04,1000000000,1.1843968129978748,0.021143384001334198,0.11005801400460768
0,0.13,25,0.04,0.04,1000000000,1.161686394989374,0.020952720995410345,0.11269472500134725
0,0.13,25,0.04,0.04,1000000000,1.1650667789945146,0.023848408003686927,0.11536727800557856
0,0.13,25,0.04,0.04,1000000000,1.1509438429930015,0.02040398499229923,0.11253347501042299
0,0.13,25,0.04,0.04,1000000000,1.1753529150009854,0.01965858699986711,0.11639530899992678
0,0.13,25,0.04,0.04,1000000000,1.1689608120068442,0.019435752008575946,0.1088955140003236
0,0.13,25,0.04,0.04,1000000000,1.1816320640064077,0.02013683300174307,0.11540763099037576
0,0.13,25,0.04,0.04,1000000000,1.1657615849981084,0.023710637004114687,0.11506517700036056
0,0.13,25,0.04,0.04,1000000000,1.1462380579905584,0.01909512499696575,0.1132640230061952
0,0.13,25,0.04,0.04,1000000000,1.136097331007477,0.01975914200011175,0.11203095100063365
0,0.13,25,0.04,0.04,1000000000,1.1497297399910167,0.019522235001204535,0.11109167900576722
0,0.13,25,0.04,0.04,1000000000,1.1828935560042737,0.01929983199806884,0.11509982100687921
0,0.13,25,0.04,0.04,1000000000,1.1403488679934526,0.021379987010732293,0.11851371399825439
0,0.13,25,0.04,0.04,1000000000,1.1688047089992324,0.019786474003922194,0.11778621299890801
0,0.13,50,0.04,0.04,1000000000,4.580371799005661,0.03705072498996742,0.12618758699682076
0,0.13,50,0.04,0.04,1000000000,4.57916814199416,0.0381052489974536,0.12173039199842606
0,0.13,50,0.04,0.04,1000000000,4.559797922003781,0.03438959599588998,0.12136083499353845
0,0.13,50,0.04,0.04,1000000000,4.473931750995689,0.04926892399089411,0.1288406120002037
0,0.13,50,0.04,0.04,1000000000,4.492729846999282,0.38752664100320544,0.1212952929927269
0,0.13,50,0.04,0.04,1000000000,4.492693645996042,0.03981796400330495,0.12670548699679784
0,0.13,50,0.04,0.04,1000000000,4.5953497369919205,0.03851280300295912,0.1224207600025693
0,0.13,50,0.04,0.04,1000000000,4.649511069001164,0.03292402598890476,0.1263937019975856
0,0.13,50,0.04,0.04,1000000000,4.484048301004805,0.03476984800363425,0.1292802449897863
0,0.13,50,0.04,0.04,1000000000,4.518392473997665,0.043658459006110206,0.12686801500967704
0,0.13,50,0.04,0.04,1000000000,4.634089409999433,0.032586343004368246,0.11604122500284575
0,0.13,50,0.04,0.04,1000000000,4.564965122990543,0.031897188993752934,0.12723264801024925
0,0.13,50,0.04,0.04,1000000000,4.567757065990008,0.03450558699842077,0.13452905000303872
0,0.13,50,0.04,0.04,1000000000,4.494758836008259,0.038025243004085496,0.12502482999116182
0,0.13,50,0.04,0.04,1000000000,4.576784642005805,0.03570399900490884,0.12499894300708547
0,0.13,50,0.04,0.04,1000000000,4.511449142999481,0.04005462399800308,0.12103854399174452
0,0.13,50,0.04,0.04,1000000000,4.524096729990561,0.04258985999331344,0.12314581200189423
0,0.13,50,0.04,0.04,1000000000,4.556324301986024,0.033160694991238415,0.1224885039991932
0,0.13,50,0.04,0.04,1000000000,4.553876680001849,0.03261953000037465,0.14842103798582684
0,0.13,50,0.04,0.04,1000000000,4.514588698992156,0.037899817994912155,0.1260854739957722
0,0.13,100,0.04,0.04,1000000000,19.084980743995402,0.08967781500541605,0.13825262799218763
0,0.13,100,0.04,0.04,1000000000,18.79585991699423,0.06643354801053647,0.13380639500974212
0,0.13,100,0.04,0.04,1000000000,19.271058860002086,0.06642991599801462,0.13665437899180688
0,0.13,100,0.04,0.04,1000000000,19.2332145350083,0.07187966200581286,0.1342857840063516
0,0.13,100,0.04,0.04,1000000000,18.850364140002057,0.05768846799037419,0.13558162900153548
0,0.13,100,0.04,0.04,1000000000,18.841157632996328,0.06782099600241054,0.13932958198711276
0,0.13,100,0.04,0.04,1000000000,19.444172174000414,0.07107990099757444,0.13716589199611917
0,0.13,100,0.04,0.04,1000000000,19.47646569099743,0.06309995900664944,0.1343062139931135
0,0.13,100,0.04,0.04,1000000000,18.890505435003433,0.06859471900679637,0.14446482999483123
0,0.13,100,0.04,0.04,1000000000,18.9106399769953,0.08713543599878903,0.14529167499858886
0,0.13,100,0.04,0.04,1000000000,18.96001885399164,0.08258627500617877,0.14192015099979471
0,0.13,100,0.04,0.04,1000000000,18.702094937994843,0.07690570999693591,0.14184360099898186
0,0.13,100,0.04,0.04,1000000000,19.167867248004768,0.07286181299423333,0.13971232699987013
0,0.13,100,0.04,0.04,1000000000,19.143239323006128,0.06947448798746336,0.13391003200376872
0,0.13,100,0.04,0.04,1000000000,18.742174394996255,0.07173195500217844,0.13353720799204893
0,0.13,100,0.04,0.04,1000000000,18.878487142006634,0.07289388900971971,0.13826735298789572
