,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,chainbreaker runtime,copkmeans runtime,kmeans runtime
0,0.13,2,0.04,0.04,0.03911539500404615,0.006995117990300059,0.029774081995128654,0.059695790987461805
0,0.13,2,0.04,0.04,0.05252933199517429,0.008332127996254712,0.03936444199644029,0.05695308400026988
0,0.13,2,0.04,0.04,0.058429233002243564,0.008201866992749274,0.03734321599768009,0.05627851501049008
0,0.13,2,0.04,0.04,0.05895065799995791,0.008008214994333684,0.05155191299854778,0.05560311199224088
0,0.13,2,0.04,0.04,0.05824589999974705,0.007890392997069284,0.036879840001347475,0.05532969700288959
0,0.13,2,0.04,0.04,0.060293757007457316,0.008112823008559644,0.03800401199259795,0.0564851009985432
0,0.13,2,0.04,0.04,0.05954313599795569,0.008065472997259349,0.037995741004124284,0.0554460069979541
0,0.13,2,0.04,0.04,0.05704834700736683,0.007839925005100667,0.036799242996494286,0.054577173010329716
0,0.13,2,0.04,0.04,0.06131866198848002,0.008022613998036832,0.03707313499762677,0.05464063098770566
0,0.13,2,0.04,0.04,0.04832823599281255,0.007734377999440767,0.03636211199045647,0.05702372299856506
0,0.13,2,0.04,0.04,0.04927865098579787,0.007788219998474233,0.03680440400785301,0.05497746600303799
0,0.13,2,0.04,0.04,0.057335605000844225,0.007991430000402033,0.03733734700654168,0.0559191749925958
0,0.13,2,0.04,0.04,0.058116669999435544,0.008037464998778887,0.037273559006280266,0.05597583600319922
0,0.13,2,0.04,0.04,0.04949396300071385,0.007912468005088158,0.037027599988505244,0.05641994001052808
0,0.13,2,0.04,0.04,0.057411817004322074,0.007916379006928764,0.03721022899844684,0.055699505988741294
0,0.13,2,0.04,0.04,0.05714389598870184,0.007966007993672974,0.037207918998319656,0.05564664899429772
0,0.13,2,0.04,0.04,0.059154104004846886,0.008014934006496333,0.03744932399422396,0.05588754800555762
0,0.13,2,0.04,0.04,0.05948130199976731,0.008014985010959208,0.03789496299577877,0.05594219198974315
0,0.13,2,0.04,0.04,0.05755042600503657,0.007973044994287193,0.0376074710075045,0.05592600100499112
0,0.13,2,0.04,0.04,0.04974495399801526,0.0077472789998864755,0.03635661200678442,0.05444293799519073
0,0.13,5,0.04,0.04,0.34802498399221804,0.04553309400216676,0.08412170500378124,0.07951488600519951
0,0.13,5,0.04,0.04,0.23223205900285393,0.043512240998097695,0.07859668099263217,0.07958436998887919
0,0.13,5,0.04,0.04,0.1835782010020921,0.04371818700747099,0.07982408700627275,0.07733698500669561
0,0.13,5,0.04,0.04,0.22715618899383117,0.04450803999498021,0.07888690300751477,0.0791707820026204
0,0.13,5,0.04,0.04,0.1854881170002045,0.04366922000190243,0.08009963000949938,0.07823758899758104
0,0.13,5,0.04,0.04,0.28936200799944345,0.042540067006484605,0.07875023699307349,0.07722017999913078
0,0.13,5,0.04,0.04,0.19337131899374072,0.04371699599141721,0.07804760900035035,0.07732707400282379
