,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,chainbreaker runtime,copkmeans runtime,kmeans runtime
0,0.13,5,0.04,0.04,1000000000,1000000000,0.060800378007115796,0.6900250839971704
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07769884800654836,0.6527061090018833
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07620111799042206,0.6188253190048272
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07630668100318871,0.6610468069993658
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07727729500038549,0.6450822169863386
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07862239099631552,0.6351925099879736
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07705507399805356,0.621532485994976
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07674798701191321,0.6350079380063107
0,0.13,5,0.04,0.04,1000000000,1000000000,0.0767764799966244,0.6216866440081503
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07555016000696924,0.6238563410006464
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07607060000009369,0.6377653379895492
0,0.13,5,0.04,0.04,1000000000,1000000000,0.0780465860007098,0.6396009320014855
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07875674699607771,0.6359519389952766
0,0.13,5,0.04,0.04,1000000000,1000000000,0.0763919440069003,0.6240963489981368
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07540358199912589,0.6392536170023959
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07519436501024757,0.636811869990197
0,0.13,5,0.04,0.04,1000000000,1000000000,0.0775499570008833,0.6451847749995068
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07744186499621719,0.6253516860015225
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07744712800194975,0.6345962530031102
0,0.13,5,0.04,0.04,1000000000,1000000000,0.07639405599911697,0.6439513540099142
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09444208499917295,0.652653030003421
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09599000899470411,0.6628208019974409
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09243084699846804,0.6423891610029386
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09204481200140435,0.6332969280047109
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09075824500177987,0.708726179000223
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09740206199057866,0.651522740998189
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09271219100628514,0.6667230860039126
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09593514898733702,0.654442768995068
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09356075400137343,0.6534458420064766
0,0.13,10,0.04,0.04,1000000000,1000000000,0.0926013940043049,0.6720236760011176
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09417708599357866,0.6529403629974695
0,0.13,10,0.04,0.04,1000000000,1000000000,0.203422058999422,0.6888118700007908
0,0.13,10,0.04,0.04,1000000000,1000000000,0.0953422869934002,0.6498798910033656
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09406691200274508,0.6446637070039287
0,0.13,10,0.04,0.04,1000000000,1000000000,0.0937029939959757,0.6489350149931852
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09152863499184605,0.636160355003085
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09176859998842701,0.6336732779891463
0,0.13,10,0.04,0.04,1000000000,1000000000,0.092802095998195,0.6391203179955482
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09405162199982442,0.6553926750057144
0,0.13,10,0.04,0.04,1000000000,1000000000,0.09212051999929827,0.6574539619905408
0,0.13,15,0.04,0.04,1000000000,1000000000,0.11384063299919944,0.6740251290029846
0,0.13,15,0.04,0.04,1000000000,1000000000,0.1108585839974694,0.6757340610056417
0,0.13,15,0.04,0.04,1000000000,1000000000,0.10631420799472835,0.6531202340120217
0,0.13,15,0.04,0.04,1000000000,1000000000,0.10857684300572146,0.6720808200043393
0,0.13,15,0.04,0.04,1000000000,1000000000,0.11044597199361306,0.723569268011488
0,0.13,15,0.04,0.04,1000000000,1000000000,0.11444499799108598,0.6617700589995366
0,0.13,15,0.04,0.04,1000000000,1000000000,0.10882994100393262,0.67555619799532
0,0.13,15,0.04,0.04,1000000000,1000000000,0.11393387899443042,0.7282287840062054
0,0.13,15,0.04,0.04,1000000000,1000000000,0.10944888800440822,0.6535028080106713
0,0.13,15,0.04,0.04,1000000000,1000000000,0.11588749900693074,0.6947933589981403
0,0.13,15,0.04,0.04,1000000000,1000000000,0.1101349849923281,0.6818674969981657
