,distance,number of catalogs,sigma 1,sigma 2,runtimes
0,0.05,2,0.01,0.01,"[0.06569047399898409, 0.05530206299954443, 0.052838978999716346, 0.03677315499953693, 0.03655303099912999]"
1,0.05,5,0.01,0.01,"[0.14543272999981127, 0.17832040000030247, 0.14083913499962364, 0.13689205599985144, 0.13904265999917698]"
2,0.05,10,0.01,0.01,"[0.6192947679992358, 0.6135468949996721, 0.6455069869989529, 0.6054980420012726, 0.6479121609991125]"
3,0.05,15,0.01,0.01,"[1.726720569000463, 1.7374698749990785, 1.691360615001031, 1.69374698700085, 1.7169488929994259]"
4,0.05,20,0.01,0.01,"[3.6465353140010848, 4.461262642998918, 3.7351149389996863, 3.736290029999509, 6.268934398000056]"
