MatchID,RA,Dec,Level,SubID,ImageID,SourceID,X,Y,Z,Sigma
6000160767697,181.889115591509,-39.5484290483893,2,0,1046845,6000160767697,-0.77066757739716,-0.0254191228090033,-0.636730204517119,0.026779999256134
6000160767697,181.889115591509,-39.5484290483893,2,0,1047241,6000200049984,-0.770667586981064,-0.0254191366585175,-0.636730192364332,0.0279500012397766
6000160767697,181.889115591509,-39.5484290483893,2,0,1059210,6000509549833,-0.770667573499348,-0.0254190981105421,-0.636730210220839,0.0279500012397766
6000160767697,181.889115591509,-39.5484290483893,2,0,1063260,6000443790714,-0.770667568432088,-0.02541909644759,-0.636730216420393,0.028470000743866
6000160767697,181.889115591509,-39.5484290483893,2,0,1063904,6000510780386,-0.770667578369909,-0.0254191319529191,-0.636730202974714,0.032110000371933
6000160767697,181.889115591509,-39.5484290483893,2,0,1064824,6000332395766,-0.770667574958708,-0.0254190957611003,-0.636730208548292,0.02925
6000160767697,181.889176145155,-39.5484139979902,2,1,1052158,6000179832048,-0.770667735368016,-0.0254199676709319,-0.636729979588162,0.00827999973297119
6000160767697,181.889176145155,-39.5484139979902,2,1,1056975,6000435667141,-0.770667737142898,-0.0254199755823028,-0.636729977124087,0.00803999996185303
6000160767697,181.889176145155,-39.5484139979902,2,1,1058478,6000274900085,-0.770667730556977,-0.0254199710129677,-0.636729985277793,0.00868000030517578
6000160767697,181.889176145155,-39.5484139979902,2,1,1060538,6000295587793,-0.770667664556985,-0.0254198202345032,-0.636730071180502,0.0147200002670288
6000160767697,181.889077471424,-39.5484386589714,2,2,1072248,6000396376768,-0.770667474005984,-0.0254185813315891,-0.636730351273068,0.0270399990081787
6000160767697,181.889077471424,-39.5484386589714,2,2,1073779,6000401128169,-0.770667508736796,-0.0254186136050202,-0.636730307948207,0.0419900002479553
6000160767697,181.889077471424,-39.5484386589714,2,2,1074517,6000402855216,-0.770667486981337,-0.0254185731125874,-0.636730335896438,0.0331499993801117
6000160767697,181.889077471424,-39.5484386589714,2,2,1078494,6000509979549,-0.770667463063222,-0.0254185574807617,-0.636730365469792,0.034970000743866
6000160767697,181.889077471424,-39.5484386589714,2,2,1079653,6000415307319,-0.770667516231916,-0.0254186100416075,-0.636730299018731,0.0444600009918213
6000160767697,181.889077471424,-39.5484386589714,2,2,1080244,6000417049177,-0.770667500156224,-0.0254185741116328,-0.636730319910311,0.0297699995040894
6000160767697,181.889077471424,-39.5484386589714,2,2,1080467,6000418456589,-0.770667456319245,-0.0254185540555483,-0.63673037376911,0.0305499987602234
6000160767697,181.889077471424,-39.5484386589714,2,2,1080561,6000508525927,-0.770667467530157,-0.0254186640699315,-0.636730355808135,0.0340599985122681
6000160767697,181.889077471424,-39.5484386589714,2,2,1081047,6000440880131,-0.770667493376061,-0.025418670941447,-0.636730324251194,0.026
6000160767697,181.889077471424,-39.5484386589714,2,2,1081139,6000421326796,-0.7706675013325,-0.0254185748621249,-0.636730318456645,0.0448500006198883
