MatchID,Level,SubID,ImageID,SourceID,X,Y,Z,Sigma,RA,Dec
6000204755575,17,0,1013549,6000266957867,-0.609244980088355,0.584829950089983,-0.535531963299006,0.0273199996948242,136.1713404,-32.37999
6000204755575,17,0,1015010,6000204755575,-0.60924452848064,0.584830342358389,-0.535532048689312,0.0226800003051758,136.1712999,-32.3799492
6000204755575,17,1,1013549,6000266957864,-0.609240253100223,0.58483439209528,-0.535532489980693,0.0140799999237061,136.1709009,-32.3800257
6000204755575,17,2,1013549,6000266957939,-0.609241328561504,0.584831262240824,-0.535534684477502,0.0199200000762939,136.1711046,-32.3801746
6000204755575,17,3,1013549,6000266957950,-0.609243811203906,0.584828576333932,-0.535534793279546,0.0293199996948242,136.1713527,-32.380182
6000204755575,17,4,1013549,6000266957861,-0.609242833678371,0.584832272265361,-0.535531869199662,0.0364000015258789,136.1711259,-32.3799836
6000204755575,17,5,1013498,6000336008713,-0.609243122230962,0.584830246653617,-0.535533753010339,0.0351599998474121,136.1712457,-32.3801118
6000204755575,17,5,1015010,6000204755612,-0.609243413942218,0.584829972779242,-0.535533720233434,0.0175599994659424,136.1712656,-32.3800626
6000204755575,17,5,1015010,6000204755625,-0.609242717401414,0.584830485020568,-0.53553395325035,0.010039999961853,136.1712078,-32.3800784
6000204755575,17,5,1058080,6000270470566,-0.609243013742922,0.584829960721449,-0.535534188682656,0.0230799999237061,136.1713209,-32.3802127
6000204755575,17,6,1013549,6000266957866,-0.609241456659382,0.584832907637133,-0.535532741886294,0.0338400001525879,136.1710301,-32.3800428
6000204755575,17,7,1015010,6000204755606,-0.60924481889377,0.584829227437874,-0.535532935855038,0.0148400001525879,136.1713681,-32.3800094
6000204755575,17,8,1013498,6000336008719,-0.609241926667753,0.58483139343317,-0.535533860783033,0.0319599990844727,136.1711334,-32.3801191
6000204755575,17,8,1013549,6000266957915,-0.609242222526448,0.584831178626577,-0.535533758783966,0.0160400009155273,136.1711507,-32.3801118
6000204755575,17,9,1013549,6000266957945,-0.609243021731888,0.584829487763113,-0.535534696087689,0.0131999998092651,136.171271,-32.3801754
6000204755575,17,10,1015010,6000204755613,-0.609243842698288,0.584829311629936,-0.535533954472244,0.0261200008392334,136.1713181,-32.3800785
6000204755575,17,11,1013498,6000336008721,-0.609244568664759,0.58482845796678,-0.53553406082591,0.0150799999237061,136.1714012,-32.3801327
6000204755575,17,11,1013549,6000266957925,-0.609244523647574,0.584828716888366,-0.535533829284527,0.008,136.1713793,-32.3801166
6000204755575,17,12,1058080,6000270470573,-0.609240490279072,0.584831755493095,-0.535535099476571,0.0283199996948242,136.1711145,-32.3802745
6000204755575,17,13,1013549,6000266957893,-0.609243179750325,0.584830890103503,-0.535532984893048,0.0276399993896484,136.1712098,-32.3800593
6000204755575,17,14,1013498,6000336008669,-0.609243483400114,0.584831564226074,-0.53553190326943,0.0172399997711182,136.1711982,-32.3799863
6000204755575,17,14,1013549,6000266957862,-0.609243930374091,0.584831120451835,-0.535531879399705,0.0273199996948242,136.1712338,-32.3799843
6000204755575,17,15,1015010,6000204755592,-0.609240775330526,0.584833522627777,-0.535532845384338,0.0257199993133545,136.1709679,-32.3800032
6000204755575,17,15,1058080,6000270470563,-0.609240749568557,0.584833577465257,-0.535532814806275,0.01,136.1710375,-32.3801195
6000204755575,17,16,1015010,6000204755593,-0.6092417213484,0.58483181935085,-0.535533629236497,0.0260400009155273,136.1710957,-32.3800564
6000204755575,17,17,1013549,6000266957938,-0.609241887304232,0.584830889426198,-0.53553445596613,0.00827999973297119,136.1711491,-32.3801591
