,distance,number of catalogs,sigma 1,sigma 2,MIQCP Runtime,COP-KMeans Runtime
0,0.13,2,0.04,0.04,0.05009220796637237,0.00542624993249774
1,0.13,2,0.04,0.04,0.025078707956708968,0.003466040943749249
2,0.13,2,0.04,0.04,0.020617792033590376,0.0035102079855278134
3,0.13,2,0.04,0.04,0.02238670806400478,0.0033091669902205467
4,0.13,2,0.04,0.04,0.021103082923218608,0.003235250012949109
